SiteCode,DateTime,DurationNS,ScaledValue
CLDP0007,2022-03-23T03:00:00.000Z,3600000000,50.786415000000005
CLDP0007,2022-03-23T04:00:00.000Z,3600000000,52.35818407716751
CLDP0007,2022-03-23T05:00:00.000Z,3600000000,54.39367138612747
CLDP0007,2022-03-23T06:00:00.000Z,3600000000,58.265506026204434
CLDP0007,2022-03-23T07:00:00.000Z,3600000000,57.95383615447998
CLDP0007,2022-03-23T08:00:00.000Z,3600000000,52.627439838295
CLDP0007,2022-03-23T09:00:00.000Z,3600000000,44.97912454421998
CLDP0007,2022-03-23T10:00:00.000Z,3600000000,33.00996860484124
CLDP0007,2022-03-23T11:00:00.000Z,3600000000,25.345033025722508
CLDP0007,2022-03-23T12:00:00.000Z,3600000000,20.649670939378744
CLDP0007,2022-03-23T13:00:00.000Z,3600000000,21.59649988417626
CLDP0007,2022-03-23T14:00:00.000Z,3600000000,20.703965575361256
CLDP0007,2022-03-23T15:00:00.000Z,3600000000,19.95658554602623
CLDP0007,2022-03-23T16:00:00.000Z,3600000000,19.78317587319374
CLDP0007,2022-03-23T17:00:00.000Z,3600000000,21.707735673217776
CLDP0007,2022-03-23T18:00:00.000Z,3600000000,26.057509209537507
CLDP0007,2022-03-23T19:00:00.000Z,3600000000,29.734019143352512
CLDP0007,2022-03-23T20:00:00.000Z,3600000000,32.581152950506215
CLDP0007,2022-03-23T21:00:00.000Z,3600000000,35.48701411777496
CLDP0007,2022-03-23T22:00:00.000Z,3600000000,43.97301578670503
CLDP0007,2022-03-23T23:00:00.000Z,3600000000,49.95205306257248
CLDP0007,2022-03-24T00:00:00.000Z,3600000000,58.450661615371715
CLDP0007,2022-03-24T01:00:00.000Z,3600000000,63.62880344953537
CLDP0007,2022-03-24T02:00:00.000Z,3600000000,66.67044495916367
CLDP0007,2022-03-24T03:00:00.000Z,3600000000,73.07462437032063
CLDP0007,2022-03-24T04:00:00.000Z,3600000000,79.94037771320345
CLDP0007,2022-03-24T05:00:00.000Z,3600000000,77.66078862018587
CLDP0007,2022-03-24T06:00:00.000Z,3600000000,61.1824940448761
CLDP0007,2022-03-24T07:00:00.000Z,3600000000,71.20730964021683
CLDP0007,2022-03-24T08:00:00.000Z,3600000000,65.46384117213658
CLDP0007,2022-03-24T09:00:00.000Z,3600000000,48.262408785247814
CLDP0007,2022-03-24T10:00:00.000Z,3600000000,40.1706181157589
CLDP0007,2022-03-24T11:00:00.000Z,3600000000,27.904937809705736
CLDP0007,2022-03-24T12:00:00.000Z,3600000000,19.589323275232314
CLDP0007,2022-03-24T13:00:00.000Z,3600000000,18.732941526085988
CLDP0007,2022-03-24T14:00:00.000Z,3600000000,18.552907125908984
CLDP0007,2022-03-24T15:00:00.000Z,3600000000,17.560468160247805
CLDP0007,2022-03-24T16:00:00.000Z,3600000000,16.27047223540412
CLDP0007,2022-03-24T17:00:00.000Z,3600000000,18.442636070108414
CLDP0007,2022-03-24T18:00:00.000Z,3600000000,22.130807104969023
CLDP0007,2022-03-24T19:00:00.000Z,3600000000,31.70666193990708
CLDP0007,2022-03-24T20:00:00.000Z,3600000000,37.36799053203038
CLDP0007,2022-03-24T21:00:00.000Z,3600000000,40.3747495288849
CLDP0007,2022-03-24T22:00:00.000Z,3600000000,39.61991978120805
CLDP0007,2022-03-24T23:00:00.000Z,3600000000,37.36395822515488
CLDP0007,2022-03-25T00:00:00.000Z,3600000000,36.03094980797766
CLDP0007,2022-03-25T01:00:00.000Z,3600000000,36.33046833100319
CLDP0007,2022-03-25T02:00:00.000Z,3600000000,38.59262012047767
CLDP0007,2022-03-25T03:00:00.000Z,3600000000,45.91660582711961
CLDP0007,2022-03-25T04:00:00.000Z,3600000000,56.23085774259566
CLDP0007,2022-03-25T05:00:00.000Z,3600000000,62.914239245891565
CLDP0007,2022-03-25T06:00:00.000Z,3600000000,64.89930716652869
CLDP0007,2022-03-25T07:00:00.000Z,3600000000,62.223650270557386
CLDP0007,2022-03-25T08:00:00.000Z,3600000000,50.051926965223025
CLDP0007,2022-03-25T09:00:00.000Z,3600000000,37.09866662006378
CLDP0007,2022-03-25T10:00:00.000Z,3600000000,32.992718064761156
CLDP0007,2022-03-25T11:00:00.000Z,3600000000,24.642582240748403
CLDP0007,2022-03-25T12:00:00.000Z,3600000000,20.703976064968106
CLDP0007,2022-03-25T13:00:00.000Z,3600000000,20.34685827076435
CLDP0007,2022-03-25T14:00:00.000Z,3600000000,17.206159104442595
CLDP0007,2022-03-25T15:00:00.000Z,3600000000,13.160236166632174
CLDP0007,2022-03-25T16:00:00.000Z,3600000000,11.854777878655327
CLDP0007,2022-03-25T17:00:00.000Z,3600000000,10.340882925987243
CLDP0007,2022-03-25T18:00:00.000Z,3600000000,13.807171608757972
CLDP0007,2022-03-25T19:00:00.000Z,3600000000,15.846806821751592
CLDP0007,2022-03-25T20:00:00.000Z,3600000000,20.387481328535074
CLDP0007,2022-03-25T21:00:00.000Z,3600000000,25.93705956702232
CLDP0007,2022-03-25T22:00:00.000Z,3600000000,26.890788870477675
CLDP0007,2022-03-25T23:00:00.000Z,3600000000,28.250747826480865
CLDP0007,2022-03-26T00:00:00.000Z,3600000000,27.32875173431635
CLDP0007,2022-03-26T01:00:00.000Z,3600000000,27.712731415510177
CLDP0007,2022-03-26T02:00:00.000Z,3600000000,26.714818602879845
CLDP0007,2022-03-26T03:00:00.000Z,3600000000,26.189287399709222
CLDP0007,2022-03-26T04:00:00.000Z,3600000000,27.36671563130617
CLDP0007,2022-03-26T05:00:00.000Z,3600000000,25.960961144387724
CLDP0007,2022-03-26T06:00:00.000Z,3600000000,27.35044556707144
CLDP0007,2022-03-26T07:00:00.000Z,3600000000,26.85637017083168
CLDP0007,2022-03-26T08:00:00.000Z,3600000000,25.883947810530664
CLDP0007,2022-03-26T09:00:00.000Z,3600000000,24.641980954051018
CLDP0007,2022-03-26T10:00:00.000Z,3600000000,19.456632534086705
CLDP0007,2022-03-26T11:00:00.000Z,3600000000,13.232394107818605
CLDP0007,2022-03-26T12:00:00.000Z,3600000000,10.38484839612246
CLDP0007,2022-03-26T13:00:00.000Z,3600000000,11.171789189785722
CLDP0007,2022-03-26T14:00:00.000Z,3600000000,10.983053589612249
CLDP0007,2022-03-26T15:00:00.000Z,3600000000,14.260436990857126
CLDP0007,2022-03-26T16:00:00.000Z,3600000000,15.406176643848424
CLDP0007,2022-03-26T17:00:00.000Z,3600000000,12.7407897785306
CLDP0007,2022-03-26T18:00:00.000Z,3600000000,12.8763757160306
CLDP0007,2022-03-26T19:00:00.000Z,3600000000,17.19343167638779
CLDP0007,2022-03-26T20:00:00.000Z,3600000000,17.94403584843874
CLDP0007,2022-03-26T21:00:00.000Z,3600000000,20.917766887346904
CLDP0007,2022-03-26T22:00:00.000Z,3600000000,22.87773659461737
CLDP0007,2022-03-26T23:00:00.000Z,3600000000,20.58904654890299
CLDP0007,2022-03-27T00:00:00.000Z,3600000000,13.119420538425446
CLDP0007,2022-03-27T01:00:00.000Z,3600000000,11.927365758657457
CLDP0007,2022-03-27T02:00:00.000Z,3600000000,13.216725359582902
CLDP0007,2022-03-27T03:00:00.000Z,3600000000,11.947507599294186
CLDP0007,2022-03-27T04:00:00.000Z,3600000000,12.319421766781806
CLDP0007,2022-03-27T05:00:00.000Z,3600000000,13.021548545718193
CLDP0007,2022-03-27T06:00:00.000Z,3600000000,11.73587664204836
CLDP0007,2022-03-27T07:00:00.000Z,3600000000,11.061047114721935
CLDP0007,2022-03-27T08:00:00.000Z,3600000000,9.386944217801094
CLDP0007,2022-03-27T09:00:00.000Z,3600000000,9.06978158414364
CLDP0007,2022-03-27T10:00:00.000Z,3600000000,9.075171553575993
CLDP0007,2022-03-27T11:00:00.000Z,3600000000,8.165102055740356
CLDP0007,2022-03-27T12:00:00.000Z,3600000000,8.444534362280368
CLDP0007,2022-03-27T13:00:00.000Z,3600000000,10.217581183171273
CLDP0007,2022-03-27T14:00:00.000Z,3600000000,9.055313515150548
CLDP0007,2022-03-27T15:00:00.000Z,3600000000,8.332477778136731
CLDP0007,2022-03-27T16:00:00.000Z,3600000000,9.06694467126727
CLDP0007,2022-03-27T17:00:00.000Z,3600000000,8.713470045185089
CLDP0007,2022-03-27T18:00:00.000Z,3600000000,10.710630088472369
CLDP0007,2022-03-27T19:00:00.000Z,3600000000,12.051557798703511
CLDP0007,2022-03-27T20:00:00.000Z,3600000000,13.819277657198906
CLDP0007,2022-03-27T21:00:00.000Z,3600000000,12.352896954548358
CLDP0007,2022-03-27T22:00:00.000Z,3600000000,13.165094243240356
CLDP0007,2022-03-27T23:00:00.000Z,3600000000,12.029209575486183
CLDP0007,2022-03-28T00:00:00.000Z,3600000000,11.39765684261322
CLDP0007,2022-03-28T01:00:00.000Z,3600000000,23.00877519524892
CLDP0007,2022-03-28T02:00:00.000Z,3600000000,21.965768805122377
CLDP0007,2022-03-28T03:00:00.000Z,3600000000,16.193659213066102
CLDP0007,2022-03-28T04:00:00.000Z,3600000000,15.607994880104066
CLDP0007,2022-03-28T05:00:00.000Z,3600000000,17.726036700156882
CLDP0007,2022-03-28T06:00:00.000Z,3600000000,20.073153971417746
CLDP0007,2022-03-28T07:00:00.000Z,3600000000,22.722328286933895
CLDP0007,2022-03-28T08:00:00.000Z,3600000000,26.37619373162587
CLDP0007,2022-03-28T09:00:00.000Z,3600000000,26.41207534224192
CLDP0007,2022-03-28T10:00:00.000Z,3600000000,21.284014027468363
CLDP0007,2022-03-28T11:00:00.000Z,3600000000,17.347351221974687
CLDP0007,2022-03-28T12:00:00.000Z,3600000000,15.156734628804523
CLDP0007,2022-03-28T13:00:00.000Z,3600000000,14.438490407943725
CLDP0007,2022-03-28T14:00:00.000Z,3600000000,13.39487618522644
CLDP0007,2022-03-28T15:00:00.000Z,3600000000,12.1998283604304
CLDP0007,2022-03-28T16:00:00.000Z,3600000000,12.824415902932483
CLDP0007,2022-03-28T17:00:00.000Z,3600000000,12.936926707910608
CLDP0007,2022-03-28T18:00:00.000Z,3600000000,14.476196444320678
CLDP0007,2022-03-28T19:00:00.000Z,3600000000,16.123719953600563
CLDP0007,2022-03-28T20:00:00.000Z,3600000000,17.717116898663836
CLDP0007,2022-03-28T21:00:00.000Z,3600000000,18.544831305122372
CLDP0007,2022-03-28T22:00:00.000Z,3600000000,20.397306916109716
CLDP0007,2022-03-28T23:00:00.000Z,3600000000,20.979930926132198
CLDP0007,2022-03-29T00:00:00.000Z,3600000000,20.96285022597313
CLDP0007,2022-03-29T01:00:00.000Z,3600000000,22.01335602724552
CLDP0007,2022-03-29T02:00:00.000Z,3600000000,22.989463693745932
CLDP0007,2022-03-29T03:00:00.000Z,3600000000,22.457961162400245
CLDP0007,2022-03-29T04:00:00.000Z,3600000000,22.965656254291535
CLDP0007,2022-03-29T05:00:00.000Z,3600000000,22.41510758974552
CLDP0007,2022-03-29T06:00:00.000Z,3600000000,21.96871673769951
CLDP0007,2022-03-29T07:00:00.000Z,3600000000,16.875102003717423
CLDP0007,2022-03-29T08:00:00.000Z,3600000000,14.858011829590797
CLDP0007,2022-03-29T09:00:00.000Z,3600000000,10.113772208058837
CLDP0007,2022-03-29T10:00:00.000Z,3600000000,6.573597098827364
CLDP0007,2022-03-29T11:00:00.000Z,3600000000,9.518584821581843
CLDP0007,2022-03-29T12:00:00.000Z,3600000000,15.382372212350369
CLDP0007,2022-03-29T13:00:00.000Z,3600000000,13.940828014695645
CLDP0007,2022-03-29T14:00:00.000Z,3600000000,15.862026982900833
CLDP0007,2022-03-29T15:00:00.000Z,3600000000,18.55234085097313
CLDP0007,2022-03-29T16:00:00.000Z,3600000000,19.873657146382328
CLDP0007,2022-03-29T17:00:00.000Z,3600000000,19.09251581562587
CLDP0007,2022-03-29T18:00:00.000Z,3600000000,18.88505067255497
CLDP0007,2022-03-29T19:00:00.000Z,3600000000,19.382627458882336
CLDP0007,2022-03-29T20:00:00.000Z,3600000000,19.772474998927116
CLDP0007,2022-03-29T21:00:00.000Z,3600000000,22.18238951337337
CLDP0007,2022-03-29T22:00:00.000Z,3600000000,23.02993593213558
CLDP0007,2022-03-29T23:00:00.000Z,3600000000,23.911408701372146
CLDP0007,2022-03-30T00:00:00.000Z,3600000000,23.9379125
CLDP0007,2022-03-30T01:00:00.000Z,3600000000,25.878204445571907
CLDP0007,2022-03-30T02:00:00.000Z,3600000000,25.70470479716301
CLDP0007,2022-03-30T03:00:00.000Z,3600000000,25.15724832149506
CLDP0007,2022-03-30T04:00:00.000Z,3600000000,24.53202770030022
CLDP0007,2022-03-30T05:00:00.000Z,3600000000,24.97476230223656
CLDP0007,2022-03-30T06:00:00.000Z,3600000000,25.164505844326023
CLDP0007,2022-03-30T07:00:00.000Z,3600000000,24.25674395410538
CLDP0007,2022-03-30T08:00:00.000Z,3600000000,23.957094169626238
CLDP0007,2022-03-30T09:00:00.000Z,3600000000,24.3443575101471
CLDP0007,2022-03-30T10:00:00.000Z,3600000000,24.364403691677516
CLDP0007,2022-03-30T11:00:00.000Z,3600000000,24.77124357577733
CLDP0007,2022-03-30T12:00:00.000Z,3600000000,22.4189268940258
CLDP0007,2022-03-30T13:00:00.000Z,3600000000,22.333905423431396
CLDP0007,2022-03-30T14:00:00.000Z,3600000000,21.669803125
CLDP0007,2022-03-30T15:00:00.000Z,3600000000,20.908236871194838
CLDP0007,2022-03-30T16:00:00.000Z,3600000000,19.92271063768387
CLDP0007,2022-03-30T17:00:00.000Z,3600000000,12.063609889891492
CLDP0007,2022-03-30T18:00:00.000Z,3600000000,5.613662497463227
CLDP0007,2022-03-30T19:00:00.000Z,3600000000,3.5829916696262365
CLDP0007,2022-03-30T20:00:00.000Z,3600000000,1.2044578347645707
CLDP0007,2022-03-30T21:00:00.000Z,3600000000,0.0
CLDP0007,2022-03-30T22:00:00.000Z,3600000000,0.08828878652736619
CLDP0007,2022-03-30T23:00:00.000Z,3600000000,0.0
CLDP0007,2022-03-31T00:00:00.000Z,3600000000,6.522479006493091
CLDP0007,2022-03-31T01:00:00.000Z,3600000000,6.548911995077133
CLDP0007,2022-03-31T02:00:00.000Z,3600000000,7.333491496944428
CLDP0007,2022-03-31T03:00:00.000Z,3600000000,8.025956000873022
CLDP0007,2022-03-31T04:00:00.000Z,3600000000,10.658041967916489
CLDP0007,2022-03-31T05:00:00.000Z,3600000000,9.700224032592772
CLDP0007,2022-03-31T06:00:00.000Z,3600000000,9.801887372698102
CLDP0007,2022-03-31T07:00:00.000Z,3600000000,9.487780995416642
CLDP0007,2022-03-31T08:00:00.000Z,3600000000,9.335591025972365
CLDP0007,2022-03-31T09:00:00.000Z,3600000000,6.791214493697883
CLDP0007,2022-03-31T10:00:00.000Z,3600000000,6.5527567871665955
CLDP0007,2022-03-31T11:00:00.000Z,3600000000,6.224507004201412
CLDP0007,2022-03-31T12:00:00.000Z,3600000000,6.155220495082437
CLDP0007,2022-03-31T13:00:00.000Z,3600000000,6.256890279494013
CLDP0007,2022-03-31T14:00:00.000Z,3600000000,6.353868500190973
CLDP0007,2022-03-31T15:00:00.000Z,3600000000,6.462003506875039
CLDP0007,2022-03-31T16:00:00.000Z,3600000000,6.1548200014323
CLDP0007,2022-03-31T17:00:00.000Z,3600000000,6.240927502267809
CLDP0007,2022-03-31T18:00:00.000Z,3600000000,7.298247525781393
CLDP0007,2022-03-31T19:00:00.000Z,3600000000,6.507260001909732
CLDP0007,2022-03-31T20:00:00.000Z,3600000000,6.338649511124195
CLDP0007,2022-03-31T21:00:00.000Z,3600000000,6.738748991215229
CLDP0007,2022-03-31T22:00:00.000Z,3600000000,6.912565992552042
CLDP0007,2022-03-31T23:00:00.000Z,3600000000,6.647435001909733
CLDP0007,2022-04-01T00:00:00.000Z,3600000000,5.575027259951831
CLDP0007,2022-04-01T01:00:00.000Z,3600000000,7.652967137649323
CLDP0007,2022-04-01T02:00:00.000Z,3600000000,7.8558747173011305
CLDP0007,2022-04-01T03:00:00.000Z,3600000000,8.58708762357831
CLDP0007,2022-04-01T04:00:00.000Z,3600000000,8.360493555337193
CLDP0007,2022-04-01T05:00:00.000Z,3600000000,6.68116377132535
CLDP0007,2022-04-01T06:00:00.000Z,3600000000,8.63851843175888
